keys,it
ITEM_SCALA_DRAGO_NAME,Scala di Drago
ITEM_TELA_RAGNO_NAME,Tela di Ragno
ITEM_ZAMPA_RAGNO_NAME,Zampa di Ragno
ITEM_ZANNA_ORCHETTO_NAME,Zanna di Orchetto
ITEM_ZANNA_VAMPIRO_NAME,Zanna di Vampiro
ITEM_ESTRATTO_ERBA_AMARA_NAME,Estratto di Erba Amara
ITEM_ESTRATTO_FUNGO_NERO_NAME,Estratto di Fungo Nero
ITEM_ESTRATTO_LICH_NAME,Estratto del Lich
ITEM_ESTRATTO_NEGROMANTE_NAME,Estratto del Negromante
ITEM_POLVERE_PARALIZANTE_NAME,Polvere Paralizante
ITEM_POLVERE_SOPORIFERA_NAME,Polvere Soporifera
ITEM_TOSSINA_DRAGO_NAME,Tossina del Drago
ITEM_TOSSINA_VUOTO_NAME,Tossina del Vuoto
ITEM_VELENO_ABISSO_NAME,Veleno dell'Abisso
ITEM_VELENO_BASILISCO_NAME,Veleno del Basilisco
ITEM_VELENO_COBRA_NAME,Veleno del Cobra
ITEM_VELENO_RAGNO_GIGANTE_NAME,Veleno del Ragno Gigante
ITEM_VELENO_RAGNO_NAME,Veleno di Ragno
ITEM_VELENO_SERPENTE_NAME,Veleno del Serpente
ITEM_VELENO_VAMPIRO_NAME,Veleno del Vampiro
ITEM_BALSAMO_RADICI_NAME,Balsamo delle Radici
ITEM_BENDA_PULITA_NAME,Benda Pulita
ITEM_BENDA_RINFORZATA_NAME,Benda Rinforzata
ITEM_BENDA_SPORCA_NAME,Benda Sporca
ITEM_DISTILLATO_VITALITA_NAME,Distillato di Vitalita
ITEM_ELISIR_IMMORTALE_R_NAME,Elisir dell'Immortale
ITEM_ELISIR_RESISTENZA_NAME,Elisir della Resistenza
ITEM_ELISIR_VITALE_NAME,Elisir Vitale
ITEM_ERBA_MEDICINALE_NAME,Erba Medicinale
ITEM_ESSENZA_ARCANO_NAME,Essenza dell'Arcano
ITEM_ESSENZA_VITA_NAME,Essenza della Vita
ITEM_NETTARE_DIVINO_NAME,Nettare Divino
ITEM_POZIONE_BIOMANTE_NAME,Pozione del Biomante
ITEM_POZIONE_EROISMO_NAME,Pozione dell'Eroismo
ITEM_POZIONE_FORZA_R_NAME,Pozione della Forza
ITEM_POZIONE_GRANDE_NAME,Pozione Grande
ITEM_POZIONE_GUARITORE_NAME,Pozione del Guaritore
ITEM_POZIONE_MANA_GRANDE_NAME,Pozione di Mana Grande
ITEM_POZIONE_MANA_MASSIMA_NAME,Pozione di Mana Massima
ITEM_POZIONE_MANA_PICCOLA_NAME,Pozione di Mana Piccola
ITEM_POZIONE_MANA_SUPERIORE_NAME,Pozione di Mana Superiore
ITEM_POZIONE_MANA_NAME,Pozione di Mana
ITEM_POZIONE_MASSIMA_NAME,Pozione Massima
ITEM_POZIONE_MEDIA_NAME,Pozione Media
ITEM_POZIONE_PICCOLA_NAME,Pozione Piccola
ITEM_POZIONE_SANGUE_NAME,Pozione di Sangue
ITEM_POZIONE_SUPERIORE_NAME,Pozione Superiore
ITEM_TONICO_STAMINA_NAME,Tonico della Stamina
ITEM_UNGUENTO_DRUIDO_NAME,Unguento del Druido
ITEM_UNGUENTO_SACRO_NAME,Unguento Sacro
ITEM_GRANDE_RUNA_CAOS_NAME,Grande Runa del Caos
ITEM_RUNA_ANIMA_NAME,Runa dell'Anima
ITEM_RUNA_ARCANO_NAME,Runa dell'Arcano
ITEM_RUNA_CAOS_NAME,Runa del Caos
ITEM_RUNA_CURATIVA_NAME,Runa Curativa
ITEM_RUNA_ECO_NAME,Runa dell'Eco
ITEM_RUNA_FULMINE_R_NAME,Runa del Fulmine
ITEM_RUNA_FUOCO_NAME,Runa del Fuoco
ITEM_RUNA_GELO_NAME,Runa del Gelo
ITEM_RUNA_MORTE_NAME,Runa della Morte
ITEM_RUNA_OSCURITA_NAME,Runa dell'Oscurita
ITEM_RUNA_PROTEZIONE_NAME,Runa della Protezione
ITEM_RUNA_RINASCITA_NAME,Runa della Rinascita
ITEM_RUNA_SACRO_NAME,Runa del Sacro
ITEM_RUNA_TEMPO_NAME,Runa del Tempo
ITEM_RUNA_TERRA_NAME,Runa della Terra
ITEM_RUNA_TERRORE_R_NAME,Runa del Terrore
ITEM_RUNA_VELENO_NAME,Runa del Veleno
ITEM_RUNA_VENTO_NAME,Runa del Vento
ITEM_RUNA_VUOTO_R_NAME,Runa del Vuoto
ITEM_PERGAMENA_BENEDIZIONE_NAME,Pergamena di Benedizione
ITEM_PERGAMENA_CONFUSIONE_NAME,Pergamena di Confusione
ITEM_PERGAMENA_COPIA_NAME,Pergamena di Copia
ITEM_PERGAMENA_FULMINE_NAME,Pergamena di Fulmine
ITEM_PERGAMENA_ID_MASSA_NAME,Pergamena di Identificazione di Massa
ITEM_PERGAMENA_IDENTIFICAZIONE_NAME,Pergamena di Identificazione
ITEM_PERGAMENA_LEGAME_NAME,Pergamena di Legame
ITEM_PERGAMENA_LUCE_NAME,Pergamena di Luce
ITEM_PERGAMENA_MALEDIZIONE_NAME,Pergamena di Maledizione
ITEM_PERGAMENA_MURO_FUOCO_NAME,Pergamena di Muro di Fuoco
ITEM_PERGAMENA_NEBBIA_NAME,Pergamena di Nebbia
ITEM_PERGAMENA_OBLIO_NAME,Pergamena dell'Oblio
ITEM_PERGAMENA_PROTEZIONE_NAME,Pergamena di Protezione
ITEM_PERGAMENA_RESURREZIONE_NAME,Pergamena di Resurrezione
ITEM_PERGAMENA_RICHIAMO_NAME,Pergamena di Richiamo
ITEM_PERGAMENA_RIVELAZIONE_NAME,Pergamena di Rivelazione
ITEM_PERGAMENA_TELETRASP_MASSA_NAME,Pergamena di Teletrasporto di Massa
ITEM_PERGAMENA_TELETRASPORTO_NAME,Pergamena di Teletrasporto
ITEM_PERGAMENA_TERRORE_NAME,Pergamena di Terrore
ITEM_PERGAMENA_VUOTO_NAME,Pergamena del Vuoto
ITEM_BOMBA_BRACE_NAME,Bomba di Brace
ITEM_BOMBA_CAOS_NAME,Bomba del Caos
ITEM_BOMBA_CUOIO_NAME,Bomba di Cuoio
ITEM_BOMBA_FUMO_NAME,Bomba di Fumo
ITEM_BOMBA_GELO_NAME,Bomba di Gelo
ITEM_BOMBA_PUTRIDA_NAME,Bomba Putrida
ITEM_BOMBA_SONORA_NAME,Bomba Sonora
ITEM_FIALA_ACIDO_NAME,Fiala d'Acido
ITEM_FIALA_FULMINE_NAME,Fiala del Fulmine
ITEM_FIALA_GELANTE_NAME,Fiala Gelante
ITEM_FIALA_INCENDIARIA_NAME,Fiala Incendiaria
ITEM_FIALA_MORTE_NAME,Fiala della Morte
ITEM_FIALA_OBLIO_NAME,Fiala dell'Oblio
ITEM_FIALA_ORRORE_NAME,Fiala dell'Orrore
ITEM_GRANATA_FERRO_NAME,Granata di Ferro
ITEM_GRANATA_MAGICA_NAME,Granata Magica
ITEM_GRANATA_RINFORZATA_NAME,Granata Rinforzata
ITEM_GRANATA_VUOTO_NAME,Granata del Vuoto
ITEM_GRANDE_GRANATA_NAME,Grande Granata
ITEM_SASSO_NAME,Sasso
ITEM_SMALL_POTION_NAME,Pozione piccola
ITEM_SMALL_POTION_DESC,Ripristina 10 HP.
ITEM_MEDIUM_POTION_NAME,Pozione media
ITEM_MEDIUM_POTION_DESC,Ripristina 25 HP.
ITEM_RUSTY_SWORD_NAME,Spada arrugginita
ITEM_RUSTY_SWORD_DESC,Una vecchia spada consumata dal tempo.
ITEM_IRON_SWORD_NAME,Spada di ferro
ITEM_IRON_SWORD_DESC,Una robusta spada di ferro.
ITEM_LEATHER_ARMOR_NAME,Armatura di cuoio
ITEM_LEATHER_ARMOR_DESC,Leggera armatura in cuoio.
ITEM_IRON_SHIELD_NAME,Scudo di ferro
ITEM_IRON_SHIELD_DESC,Uno scudo pesante ma resistente.
ITEM_LUCKY_RING_NAME,Anello portafortuna
ITEM_LUCKY_RING_DESC,Un anello che porta fortuna al suo portatore.
ITEM_LEATHER_HELM_NAME,Elmo di cuoio
ITEM_LEATHER_HELM_DESC,Un semplice elmo in cuoio.
ITEM_LEATHER_BOOTS_NAME,Stivali di cuoio
ITEM_LEATHER_BOOTS_DESC,Stivali leggeri per avventurieri.
ITEM_CLASS_LICENSE_NAME,Licenza di Classe
ITEM_CLASS_LICENSE_DESC,"Un documento antico che consente di cambiare la propria vocazione. Oggetto raro, caduto da boss."
ITEM_ANELLO_DEL_TEMPO_NAME,Anello del Tempo
ITEM_ASCIA_DEL_MANNARO_NAME,Ascia del Mannaro
ITEM_CODEX_DEL_VUOTO_NAME,Codex del Vuoto
ITEM_CUORE_DELLA_DIVINITA_NAME,Cuore della Divinita
ITEM_SPADA_DELL_ALBA_NAME,Spada dell'Alba
ITEM_VESTE_DEGLI_ABISSI_NAME,Veste degli Abissi
ITEM_ACCETTA_BOSCAIOLO_NAME,Accetta da Boscaiolo
ITEM_ASCIA_ACCIAIO_NAME,Ascia d'Acciaio
ITEM_ASCIA_BARBARO_NAME,Ascia del Barbaro
ITEM_ASCIA_BERSERKER_NAME,Ascia del Berserker
ITEM_ASCIA_DENTELLATA_NAME,Ascia Dentellata
ITEM_ASCIA_FERRO_NAME,Ascia di Ferro
ITEM_ASCIA_GUERRA_1H_NAME,Ascia da Guerra
ITEM_ASCIA_IRA_NAME,Ascia dell'Ira
ITEM_ASCIA_MALEDETTA_NAME,Ascia Maledetta
ITEM_ASCIA_PREDATORE_NAME,Ascia del Predatore
ITEM_BACCHETTA_ARCANO_NAME,Bacchetta dell'Arcano
ITEM_BACCHETTA_AVORIO_NAME,Bacchetta d'Avorio
ITEM_BACCHETTA_BETULLA_NAME,Bacchetta di Betulla
ITEM_BACCHETTA_CRISTALLO_NAME,Bacchetta di Cristallo
ITEM_BACCHETTA_EBANO_NAME,Bacchetta di Ebano
ITEM_BACCHETTA_OSSO_NAME,Bacchetta d'Osso
ITEM_BACCHETTA_QUERCIA_NAME,Bacchetta di Quercia
ITEM_BACCHETTA_RUNATA_NAME,Bacchetta Runata
ITEM_COLTELLINO_NAME,Coltellino
ITEM_COLTELLO_DA_CACCIA_NAME,Coltello da Caccia
ITEM_GLADIO_NAME,Gladio
ITEM_LAMA_ABISSO_NAME,Lama dell'Abisso
ITEM_LAMA_ACCIAIO_NAME,Lama d'Acciaio
ITEM_LAMA_BRONZO_NAME,Lama di Bronzo
ITEM_LAMA_MORTE_NAME,Lama della Morte
ITEM_LAMA_RINFORZATA_NAME,Lama Rinforzata
ITEM_LAMA_SEGHETTATA_NAME,Lama Seghettata
ITEM_LAMA_TEMPLARE_NAME,Lama del Templare
ITEM_LAMA_VELENIFERA_NAME,Lama Velenifera
ITEM_MAGLIO_CORTO_NAME,Maglio Corto
ITEM_MAGLIO_DIVINO_NAME,Maglio Divino
ITEM_MAZZA_BENEDETTA_NAME,Mazza Benedetta
ITEM_MAZZA_FERRATA_NAME,Mazza Ferrata
ITEM_MAZZA_GUERRA_1H_NAME,Mazza da Guerra
ITEM_MAZZA_INQUISITORE_NAME,Mazza dell'Inquisitore
ITEM_MAZZA_LEGNO_NAME,Mazza di Legno
ITEM_MAZZA_SACERDOTE_NAME,Mazza del Sacerdote
ITEM_MAZZA_SACRA_NAME,Mazza Sacra
ITEM_PUGNALE_ARRUGGINITO_NAME,Pugnale Arrugginito
ITEM_PUGNALE_LADRO_NAME,Pugnale del Ladro
ITEM_PUGNALE_OMBRA_NAME,Pugnale dell'Ombra
ITEM_PUGNALE_SICARIO_NAME,Pugnale del Sicario
ITEM_PUGNALE_NAME,Pugnale
ITEM_RANDELLO_FERRATO_NAME,Randello Ferrato
ITEM_RONDEL_NAME,Rondel
ITEM_SCIABOLA_NAME,Sciabola
ITEM_SPADA_AVVENTURIERO_NAME,Spada d'Avventuriero
ITEM_SPADA_CAVALIERE_NAME,Spada del Cavaliere
ITEM_SPADA_CORTA_NAME,Spada Corta
ITEM_SPADA_DUELLO_NAME,Spada da Duello
ITEM_SPADA_GUERRA_NAME,Spada da Guerra
ITEM_SPADA_RUNATA_NAME,Spada Runata
ITEM_SPADA_STELLARE_NAME,Spada Stellare
ITEM_STILETTO_NAME,Stiletto
ITEM_CODEX_ARCANO_NAME,Codex Arcano
ITEM_CROCE_FERRO_NAME,Croce di Ferro
ITEM_CROCE_MARTIRI_NAME,Croce dei Martiri
ITEM_CROCE_SACRA_NAME,Croce Sacra
ITEM_CUORE_FEDE_NAME,Cuore della Fede
ITEM_GLOBO_CRISTALLO_NAME,Globo di Cristallo
ITEM_GLOBO_LUMINOSO_NAME,Globo Luminoso
ITEM_GRANDE_TOTEM_NAME,Grande Totem
ITEM_GRIMORIO_ABISSI_NAME,Grimorio degli Abissi
ITEM_GRIMORIO_PELLE_NAME,Grimorio di Pelle
ITEM_GRIMORIO_RINFORZATO_NAME,Grimorio Rinforzato
ITEM_LAMA_ASSASSINI_NAME,Lama degli Assassini
ITEM_LAMA_DUELLANTE_NAME,Lama del Duellante
ITEM_LAMA_GEMELLA_NAME,Lama Gemella
ITEM_LAMA_GUARDIA_NAME,Lama da Guardia
ITEM_LIBRO_ETERNITA_NAME,Libro dell'Eternita
ITEM_LIBRO_INCANTESIMI_NAME,Libro degli Incantesimi
ITEM_LIBRO_OSSO_NAME,Libro d'Osso
ITEM_LIBRO_PROIBITO_NAME,Libro Proibito
ITEM_OCCHIO_TEMPO_NAME,Occhio del Tempo
ITEM_ORB_ARCANO_NAME,Orb Arcano
ITEM_ORB_BRONZO_NAME,Orb di Bronzo
ITEM_ORB_INFINITO_NAME,Orb dell'Infinito
ITEM_ORB_QUARZO_NAME,Orb di Quarzo
ITEM_ORB_VUOTO_NAME,Orb del Vuoto
ITEM_PARATORE_CUOIO_NAME,Paratore di Cuoio
ITEM_PUGNALE_PARATA_NAME,Pugnale da Parata
ITEM_RELIQUIA_SANTA_NAME,Reliquia Santa
ITEM_RONDEL_SICARIO_NAME,Rondel del Sicario
ITEM_SFERA_ABISSO_NAME,Sfera dell'Abisso
ITEM_SFERA_MANA_NAME,Sfera di Mana
ITEM_SFERA_OSSIDIANA_NAME,Sfera d'Ossidiana
ITEM_SFERA_VETRO_NAME,Sfera di Vetro
ITEM_SIMBOLO_BENEDETTO_NAME,Simbolo Benedetto
ITEM_SIMBOLO_DIVINO_NAME,Simbolo Divino
ITEM_SIMBOLO_LEGNO_NAME,Simbolo di Legno
ITEM_SIMBOLO_LUCE_NAME,Simbolo della Luce
ITEM_SIMBOLO_SOLE_NAME,Simbolo del Sole
ITEM_STILETTO_OMBRA_NAME,Stiletto dell'Ombra
ITEM_TACCUINO_LOGORO_NAME,Taccuino Logoro
ITEM_TOMO_SAPERE_NAME,Tomo del Sapere
ITEM_TOTEM_AQUILA_NAME,Totem dell'Aquila
ITEM_TOTEM_LEGNO_NAME,Totem di Legno
ITEM_TOTEM_LUPO_NAME,Totem del Lupo
ITEM_TOTEM_ORSO_NAME,Totem dell'Orso
ITEM_TOTEM_PIETRA_NAME,Totem della Pietra
ITEM_TOTEM_SERPENTE_NAME,Totem del Serpente
ITEM_TOTEM_SPIRITI_NAME,Totem degli Spiriti
ITEM_TOTEM_TERRA_NAME,Totem della Terra
ITEM_TOTEM_TUONO_NAME,Totem del Tuono
ITEM_ARCO_BETULLA_NAME,Arco di Betulla
ITEM_ARCO_CACCIA_NAME,Arco da Caccia
ITEM_ARCO_CANNE_NAME,Arco di Canne
ITEM_ARCO_COMPOSITO_NAME,Arco Composito
ITEM_ARCO_CORTO_NAME,Arco Corto
ITEM_ARCO_LUNGO_NAME,Arco Lungo
ITEM_ARCO_PREDATORI_NAME,Arco dei Predatori
ITEM_ARCO_RANGER_NAME,Arco del Ranger
ITEM_ASCIA_BARBARO_2H_NAME,Ascia del Barbaro
ITEM_ASCIA_BERSERKER_2H_NAME,Ascia del Berserker
ITEM_ASCIA_TITANI_NAME,Ascia dei Titani
ITEM_ASTA_FERRATA_NAME,Asta Ferrata
ITEM_BALESTRA_CACCIA_NAME,Balestra da Caccia
ITEM_BALESTRA_CACCIATORE_NAME,Balestra del Cacciatore
ITEM_BALESTRA_FERRO_NAME,Balestra di Ferro
ITEM_BALESTRA_LEGGERA_NAME,Balestra Leggera
ITEM_BALESTRA_LEGNO_NAME,Balestra di Legno
ITEM_BALESTRA_PESANTE_NAME,Balestra Pesante
ITEM_BASTONE_ARCIMAGO_NAME,Bastone dell'Arcimago
ITEM_BASTONE_BETULLA_NAME,Bastone di Betulla
ITEM_BASTONE_CRISTALLO_NAME,Bastone di Cristallo
ITEM_BASTONE_DRUIDO_NAME,Bastone del Druido
ITEM_BASTONE_MAGHI_NAME,Bastone dei Maghi
ITEM_BASTONE_QUERCIA_NAME,Bastone di Quercia
ITEM_BASTONE_RUNATO_NAME,Bastone Runato
ITEM_BASTONE_SAGGIO_NAME,Bastone del Saggio
ITEM_BASTONE_STELLE_NAME,Bastone delle Stelle
ITEM_BASTONE_VIAGGIO_NAME,Bastone da Viaggio
ITEM_BIPENNE_ACCIAIO_NAME,Bipenne d'Acciaio
ITEM_BIPENNE_APOCALISSE_NAME,Bipenne dell'Apocalisse
ITEM_BIPENNE_FERRO_NAME,Bipenne di Ferro
ITEM_BIPENNE_MALEDETTA_NAME,Bipenne Maledetta
ITEM_BIPENNE_ROZZA_NAME,Bipenne Rozza
ITEM_CLAYMORE_ACCIAIO_NAME,Claymore d'Acciaio
ITEM_CLAYMORE_ROZZA_NAME,Claymore Rozza
ITEM_GIAVELLOTTO_NAME,Giavellotto
ITEM_LAMA_FINE_NAME,Lama della Fine
ITEM_LAMA_GIGANTI_NAME,Lama dei Giganti
ITEM_LANCIA_ACCIAIO_NAME,Lancia d'Acciaio
ITEM_LANCIA_CAVALIERE_NAME,Lancia del Cavaliere
ITEM_LANCIA_DRAGONE_NAME,Lancia del Dragone
ITEM_LANCIA_FERRO_NAME,Lancia di Ferro
ITEM_MAGLIO_COLOSSO_NAME,Maglio del Colosso
ITEM_MAGLIO_INQUISITORE_NAME,Maglio dell'Inquisitore
ITEM_MARTELLO_DEI_NAME,Martello degli Dei
ITEM_MARTELLO_FABBRO_NAME,Martello da Fabbro
ITEM_MARTELLO_FERRO_NAME,Martello di Ferro
ITEM_MARTELLO_GUERRA_2H_NAME,Martello da Guerra
ITEM_MARTELLO_SACRO_NAME,Martello Sacro
ITEM_MAZZAFRUSTO_NAME,Mazzafrusto
ITEM_SARISSA_NAME,Sarissa
ITEM_SPADA_BASTARDA_NAME,Spada Bastarda
ITEM_SPADONE_FERRO_NAME,Spadone di Ferro
ITEM_SPADONE_GUERRIERO_NAME,Spadone del Guerriero
ITEM_SPADONE_RUNATO_NAME,Spadone Runato
# ── Item affix names ──────────────────────────────────────────────────────────
ITEM_AFFIX_ABISSALE_M,Abissale
ITEM_AFFIX_ABISSALE_F,Abissale
ITEM_AFFIX_ADAMANTINO_M,Adamantino
ITEM_AFFIX_ADAMANTINO_F,Adamantina
ITEM_AFFIX_AFFILATO_M,Affilato
ITEM_AFFIX_AFFILATO_F,Affilata
ITEM_AFFIX_ARCANO_M,Arcano
ITEM_AFFIX_ARCANO_F,Arcana
ITEM_AFFIX_AVVELENATO_M,Avvelenato
ITEM_AFFIX_AVVELENATO_F,Avvelenata
ITEM_AFFIX_BENEDETTO_M,Benedetto
ITEM_AFFIX_BENEDETTO_F,Benedetta
ITEM_AFFIX_BRUTALE_M,Brutale
ITEM_AFFIX_BRUTALE_F,Brutale
ITEM_AFFIX_CORAZZATO_M,Corazzato
ITEM_AFFIX_CORAZZATO_F,Corazzata
ITEM_AFFIX_DEL_BERSERKER_M,del Berserker
ITEM_AFFIX_DEL_BERSERKER_F,del Berserker
ITEM_AFFIX_DEL_CUSTODE_M,del Custode
ITEM_AFFIX_DEL_CUSTODE_F,del Custode
ITEM_AFFIX_DEL_DRUIDO_M,del Druido
ITEM_AFFIX_DEL_DRUIDO_F,del Druido
ITEM_AFFIX_DEL_GUERRIERO_M,del Guerriero
ITEM_AFFIX_DEL_GUERRIERO_F,del Guerriero
ITEM_AFFIX_DEL_LICH_M,del Lich
ITEM_AFFIX_DEL_LICH_F,del Lich
ITEM_AFFIX_DEL_MAGO_M,del Mago
ITEM_AFFIX_DEL_MAGO_F,del Mago
ITEM_AFFIX_DEL_PALADINO_M,del Paladino
ITEM_AFFIX_DEL_PALADINO_F,del Paladino
ITEM_AFFIX_DEL_PREDATORE_M,del Predatore
ITEM_AFFIX_DEL_PREDATORE_F,del Predatore
ITEM_AFFIX_DEL_SAGGIO_M,del Saggio
ITEM_AFFIX_DEL_SAGGIO_F,del Saggio
ITEM_AFFIX_DEL_SICARIO_M,del Sicario
ITEM_AFFIX_DEL_SICARIO_F,del Sicario
ITEM_AFFIX_DEL_TITANO_M,del Titano
ITEM_AFFIX_DEL_TITANO_F,del Titano
ITEM_AFFIX_DELL_ABISSO_M,dell'Abisso
ITEM_AFFIX_DELL_ABISSO_F,dell'Abisso
ITEM_AFFIX_DELL_ACCIAIO_M,dell'Acciaio
ITEM_AFFIX_DELL_ACCIAIO_F,dell'Acciaio
ITEM_AFFIX_DELL_ARCANO_M,dell'Arcano
ITEM_AFFIX_DELL_ARCANO_F,dell'Arcano
ITEM_AFFIX_DELL_ASSASSINO_M,dell'Assassino
ITEM_AFFIX_DELL_ASSASSINO_F,dell'Assassina
ITEM_AFFIX_DELLA_CACCIA_M,della Caccia
ITEM_AFFIX_DELLA_CACCIA_F,della Caccia
ITEM_AFFIX_DELLA_FORTEZZA_M,della Fortezza
ITEM_AFFIX_DELLA_FORTEZZA_F,della Fortezza
ITEM_AFFIX_DELLA_FURIA_M,della Furia
ITEM_AFFIX_DELLA_FURIA_F,della Furia
ITEM_AFFIX_DELLA_GUARIGIONE_M,della Guarigione
ITEM_AFFIX_DELLA_GUARIGIONE_F,della Guarigione
ITEM_AFFIX_DELLA_MENTE_M,della Mente
ITEM_AFFIX_DELLA_MENTE_F,della Mente
ITEM_AFFIX_DELLA_MORTE_M,della Morte
ITEM_AFFIX_DELLA_MORTE_F,della Morte
ITEM_AFFIX_DELLA_ROCCIA_M,della Roccia
ITEM_AFFIX_DELLA_ROCCIA_F,della Roccia
ITEM_AFFIX_DELLA_VELOCITA_M,della Velocità
ITEM_AFFIX_DELLA_VELOCITA_F,della Velocità
ITEM_AFFIX_DELLO_STREGONE_M,dello Stregone
ITEM_AFFIX_DELLO_STREGONE_F,della Strega
ITEM_AFFIX_DEVASTANTE_M,Devastante
ITEM_AFFIX_DEVASTANTE_F,Devastante
ITEM_AFFIX_DURO_M,Duro
ITEM_AFFIX_DURO_F,Dura
ITEM_AFFIX_ETERICO_M,Eterico
ITEM_AFFIX_ETERICO_F,Eterica
ITEM_AFFIX_FULMINANTE_M,Fulminante
ITEM_AFFIX_FULMINANTE_F,Fulminante
ITEM_AFFIX_GELIDO_M,Gelido
ITEM_AFFIX_GELIDO_F,Gelida
ITEM_AFFIX_INFUOCATO_M,Infuocato
ITEM_AFFIX_INFUOCATO_F,Infuocata
ITEM_AFFIX_LETALE_M,Letale
ITEM_AFFIX_LETALE_F,Letale
ITEM_AFFIX_MISTICO_M,Mistico
ITEM_AFFIX_MISTICO_F,Mistica
ITEM_AFFIX_PESANTE_M,Pesante
ITEM_AFFIX_PESANTE_F,Pesante
ITEM_AFFIX_POTENZIATO_M,Potenziato
ITEM_AFFIX_POTENZIATO_F,Potenziata
ITEM_AFFIX_RESISTENTE_M,Resistente
ITEM_AFFIX_RESISTENTE_F,Resistente
ITEM_AFFIX_RINFORZATO_M,Rinforzato
ITEM_AFFIX_RINFORZATO_F,Rinforzata
ITEM_AFFIX_RUNATO_P_M,Runato
ITEM_AFFIX_RUNATO_P_F,Runata
ITEM_AFFIX_SACRO_M,Sacro
ITEM_AFFIX_SACRO_F,Sacra
ITEM_AFFIX_SPIRITUALE_M,Spirituale
ITEM_AFFIX_SPIRITUALE_F,Spirituale
ITEM_AFFIX_VELOCE_M,Veloce
ITEM_AFFIX_VELOCE_F,Veloce
